timestamp,X,Y,Z
2025-04-13T15:40:49.658032,-85,65,-5
2025-04-13T15:40:49.668197,-81,62,4
2025-04-13T15:40:49.677933,-81,67,-1
2025-04-13T15:40:49.688007,-74,62,-10
2025-04-13T15:40:49.698002,-70,54,-16
2025-04-13T15:40:49.707805,-73,35,-18
2025-04-13T15:40:49.719337,-73,35,-18
2025-04-13T15:40:49.727944,-75,17,-15
2025-04-13T15:40:49.737984,-74,10,-16
2025-04-13T15:40:49.753129,-68,1,-15
2025-04-13T15:40:49.758006,-63,-11,-12
2025-04-13T15:40:49.770652,-60,-18,-8
2025-04-13T15:40:49.777980,-58,-21,-5
2025-04-13T15:40:49.788236,-56,-22,4
2025-04-13T15:40:49.798139,-65,-19,20
2025-04-13T15:40:49.808000,-65,-19,20
2025-04-13T15:40:49.822935,-77,30,27
2025-04-13T15:40:49.827995,-84,64,33
2025-04-13T15:40:49.838431,-94,89,40
2025-04-13T15:40:49.848432,-104,107,55
2025-04-13T15:40:49.858146,-108,131,65
2025-04-13T15:40:49.884129,-106,139,89
2025-04-13T15:40:49.887440,-101,155,103
2025-04-13T15:40:49.888555,-97,183,107
2025-04-13T15:40:49.898146,-97,183,107
2025-04-13T15:40:49.908283,-97,197,76
2025-04-13T15:40:49.923754,-109,179,36
2025-04-13T15:40:49.928027,-129,142,32
2025-04-13T15:40:49.940336,-121,96,32
2025-04-13T15:40:49.947892,-93,63,27
2025-04-13T15:40:49.957905,-71,47,27
2025-04-13T15:40:49.975232,-128,53,-34
2025-04-13T15:40:49.994101,-128,53,-34
2025-04-13T15:40:49.998898,-207,53,136
2025-04-13T15:40:50.003703,-277,164,77
2025-04-13T15:40:50.008835,-276,186,-78
2025-04-13T15:40:50.018076,-111,82,-76
2025-04-13T15:40:50.030683,-36,-22,22
2025-04-13T15:40:50.061381,-36,-22,22
2025-04-13T15:40:50.062629,-2,-87,86
2025-04-13T15:40:50.065556,-43,-49,30
2025-04-13T15:40:50.070636,-100,5,-38
2025-04-13T15:40:50.078824,-114,36,-62
