timestamp,X,Y,Z
2025-04-15T14:09:37.316153,-291,-20,12
2025-04-15T14:09:37.326252,-306,-22,8
2025-04-15T14:09:37.336037,-310,-24,2
2025-04-15T14:09:37.346209,-307,-26,-5
2025-04-15T14:09:37.356141,-301,-27,-10
2025-04-15T14:09:37.366046,-301,-27,-10
2025-04-15T14:09:37.376296,-283,-27,-19
2025-04-15T14:09:37.386612,-264,-26,-31
2025-04-15T14:09:37.395903,-242,-24,-39
2025-04-15T14:09:37.406152,-221,-28,-45
2025-04-15T14:09:37.419117,-221,-28,-45
2025-04-15T14:09:37.426262,-185,-27,-49
2025-04-15T14:09:37.436110,-162,-28,-57
2025-04-15T14:09:37.446301,-137,-29,-63
2025-04-15T14:09:37.458005,-119,-27,-66
2025-04-15T14:09:37.466232,-119,-27,-66
2025-04-15T14:09:37.476503,-94,-26,-71
2025-04-15T14:09:37.486185,-82,-24,-72
2025-04-15T14:09:37.496329,-78,-24,-71
2025-04-15T14:09:37.506011,-76,-24,-67
2025-04-15T14:09:37.552479,-74,-23,-67
2025-04-15T14:09:37.553124,-74,-23,-67
2025-04-15T14:09:37.553174,-84,-26,-65
2025-04-15T14:09:37.555065,-104,-26,-62
2025-04-15T14:09:37.556015,-128,-25,-51
2025-04-15T14:09:37.568614,-157,-26,-43
2025-04-15T14:09:37.576614,-157,-26,-43
2025-04-15T14:09:37.587819,-201,-26,-29
2025-04-15T14:09:37.596949,-232,-26,-22
2025-04-15T14:09:37.606190,-260,-23,-10
2025-04-15T14:09:37.616139,-285,-20,3
2025-04-15T14:09:37.627251,-285,-20,3
2025-04-15T14:09:37.636231,-310,-26,16
2025-04-15T14:09:37.646414,-312,-23,24
2025-04-15T14:09:37.656070,-309,-23,27
2025-04-15T14:09:37.666593,-302,-25,27
2025-04-15T14:09:37.687077,-294,-20,29
2025-04-15T14:09:37.688026,-294,-20,29
2025-04-15T14:09:37.704351,-280,-19,34
2025-04-15T14:09:37.706002,-259,-18,42
2025-04-15T14:09:37.716300,-233,-20,50
2025-04-15T14:09:37.732426,-203,-20,54
2025-04-15T14:09:37.736001,-203,-20,54
2025-04-15T14:09:37.746557,-161,-20,56
2025-04-15T14:09:37.792354,-135,-19,58
2025-04-15T14:09:37.793070,-108,-9,59
2025-04-15T14:09:37.794975,-91,-6,63
2025-04-15T14:09:37.798502,-78,-2,62
2025-04-15T14:09:37.894291,-71,1,57
2025-04-15T14:09:37.895040,-71,1,57
2025-04-15T14:09:37.896079,-71,3,52
2025-04-15T14:09:37.897163,-74,4,50
2025-04-15T14:09:37.898186,-84,3,43
2025-04-15T14:09:37.899262,-98,4,40
2025-04-15T14:09:37.900319,-114,2,38
2025-04-15T14:09:37.901738,-130,1,33
2025-04-15T14:09:37.904161,-148,-6,30
2025-04-15T14:09:37.905242,-163,-12,27
2025-04-15T14:09:37.997392,-163,-12,27
2025-04-15T14:09:37.998152,-185,-18,24
2025-04-15T14:09:37.999171,-200,-20,20
2025-04-15T14:09:38.000246,-213,-20,11
2025-04-15T14:09:38.001335,-222,-22,9
2025-04-15T14:09:38.002395,-229,-23,5
2025-04-15T14:09:38.003466,-229,-23,5
2025-04-15T14:09:38.004548,-233,-23,-1
2025-04-15T14:09:38.007345,-231,-25,-7
2025-04-15T14:09:38.008441,-227,-24,-11
2025-04-15T14:09:38.009519,-220,-23,-13
2025-04-15T14:09:38.065160,-215,-26,-18
2025-04-15T14:09:38.066261,-215,-26,-18
2025-04-15T14:09:38.067337,-201,-26,-21
2025-04-15T14:09:38.068420,-189,-28,-27
2025-04-15T14:09:38.072706,-176,-28,-30
2025-04-15T14:09:38.073524,-159,-29,-36
2025-04-15T14:09:38.074524,-159,-29,-36
2025-04-15T14:09:38.075767,-136,-28,-40
2025-04-15T14:09:38.087844,-121,-28,-45
2025-04-15T14:09:38.096137,-111,-26,-46
2025-04-15T14:09:38.106243,-102,-27,-44
2025-04-15T14:09:38.116108,-102,-27,-44
2025-04-15T14:09:38.127771,-99,-25,-37
2025-04-15T14:09:38.136061,-101,-23,-40
2025-04-15T14:09:38.146372,-106,-24,-35
2025-04-15T14:09:38.156146,-115,-25,-28
2025-04-15T14:09:38.165784,-115,-25,-28
2025-04-15T14:09:38.176575,-126,-24,-25
2025-04-15T14:09:38.186281,-135,-23,-21
2025-04-15T14:09:38.196130,-146,-23,-15
2025-04-15T14:09:38.206183,-146,-23,-15
2025-04-15T14:09:38.216200,-157,-22,-6
2025-04-15T14:09:38.226464,-162,-23,-4
2025-04-15T14:09:38.236781,-169,-24,0
2025-04-15T14:09:38.246145,-173,-26,5
2025-04-15T14:09:38.255799,-176,-28,14
2025-04-15T14:09:38.265824,-176,-28,14
2025-04-15T14:09:38.276674,-177,-28,22
2025-04-15T14:09:38.286711,-172,-23,26
2025-04-15T14:09:38.297110,-175,-38,28
2025-04-15T14:09:38.406526,-162,-33,23
2025-04-15T14:09:38.407448,-162,-33,23
2025-04-15T14:09:38.408486,-154,-26,26
2025-04-15T14:09:38.409549,-151,-27,28
2025-04-15T14:09:38.410606,-144,-23,29
2025-04-15T14:09:38.411690,-138,-25,29
2025-04-15T14:09:38.413265,-132,-22,29
2025-04-15T14:09:38.414065,-132,-22,29
2025-04-15T14:09:38.416792,-127,-20,28
2025-04-15T14:09:38.418225,-126,-18,28
2025-04-15T14:09:38.423566,-129,-16,32
2025-04-15T14:09:38.425843,-124,-18,25
2025-04-15T14:09:38.436669,-124,-18,25
2025-04-15T14:09:38.446469,-123,-19,24
2025-04-15T14:09:38.456139,-128,-18,27
2025-04-15T14:09:38.466262,-132,-18,26
2025-04-15T14:09:38.476140,-135,-19,25
2025-04-15T14:09:38.486270,-135,-19,23
2025-04-15T14:09:38.497268,-135,-19,23
2025-04-15T14:09:38.506303,-139,-18,22
2025-04-15T14:09:38.516028,-149,13,-1
2025-04-15T14:09:38.526225,-194,-102,-75
2025-04-15T14:09:38.536139,-111,24,-22
2025-04-15T14:09:38.549131,-111,24,-22
2025-04-15T14:09:38.557782,-144,-27,36
2025-04-15T14:09:38.566139,-149,-20,-11
2025-04-15T14:09:38.576167,-148,-20,-32
2025-04-15T14:09:38.586283,-146,-24,0
2025-04-15T14:09:38.596069,-143,-25,21
2025-04-15T14:09:38.606459,-143,-25,21
2025-04-15T14:09:38.616034,-151,-190,-145
